"gis_join_match_code","state_name","county_name","county_code","total_population","male","female","white_alone","black_alone","american_indian_alone","asian_alone","hawaiian_pi_alone","sor_alone"
"G2701510960400","Minnesota","Swift County",151,2962,1789,1173,2616,260,36,24,0,14
"G2701530790100","Minnesota","Todd County",153,3389,1674,1715,3232,10,52,72,0,3
"G2701530790200","Minnesota","Todd County",153,2605,1302,1303,2556,0,0,9,0,2
"G2701530790300","Minnesota","Todd County",153,2865,1468,1397,2815,2,0,0,0,36
"G2701530790400","Minnesota","Todd County",153,3605,1870,1735,3479,19,12,24,0,0
"G2701530790500","Minnesota","Todd County",153,2611,1451,1160,2569,0,4,10,0,14
"G2701530790600","Minnesota","Todd County",153,3861,1803,2058,3519,24,0,0,0,275
"G2701530790700","Minnesota","Todd County",153,3979,2073,1906,3879,8,10,36,0,0
"G2701530790800","Minnesota","Todd County",153,1889,1010,879,1877,0,5,0,0,0
"G2701550460100","Minnesota","Traverse County",155,2267,1123,1144,2202,0,8,0,0,39
"G2701550460200","Minnesota","Traverse County",155,1390,724,666,1239,0,125,3,0,0
"G2701570490100","Minnesota","Wabasha County",157,2858,1400,1458,2778,61,0,0,0,19
"G2701570490200","Minnesota","Wabasha County",157,3631,1892,1739,3552,20,4,31,0,0
"G2701570490300","Minnesota","Wabasha County",157,4125,1959,2166,4069,0,0,0,0,21
"G2701570490400","Minnesota","Wabasha County",157,3979,2061,1918,3910,6,12,45,0,6
"G2701570490500","Minnesota","Wabasha County",157,3563,1754,1809,3424,59,0,27,0,2
"G2701570490600","Minnesota","Wabasha County",157,3587,1782,1805,3541,0,0,0,0,46
"G2701590480100","Minnesota","Wadena County",159,3090,1535,1555,3046,0,20,4,0,0
"G2701590480200","Minnesota","Wadena County",159,5854,2994,2860,5657,63,66,0,0,0
"G2701590480300","Minnesota","Wadena County",159,4865,2315,2550,4644,53,0,26,0,53
"G2701610790100","Minnesota","Waseca County",161,2913,1471,1442,2820,45,21,6,0,0
"G2701610790200","Minnesota","Waseca County",161,2388,1197,1191,2322,0,0,6,0,8
"G2701610790300","Minnesota","Waseca County",161,2970,1503,1467,2882,6,6,30,0,10
"G2701610790400","Minnesota","Waseca County",161,6290,2998,3292,5938,15,0,27,0,0
"G2701610790500","Minnesota","Waseca County",161,4607,2001,2606,4175,232,83,34,0,12
"G2701630070103","Minnesota","Washington County",163,4344,2001,2343,3933,39,61,89,0,23
"G2701630070104","Minnesota","Washington County",163,2855,1245,1610,2740,0,43,0,0,12
"G2701630070105","Minnesota","Washington County",163,4616,2375,2241,4504,40,0,72,0,0
"G2701630070106","Minnesota","Washington County",163,5932,2873,3059,5780,47,0,29,0,57
"G2701630070203","Minnesota","Washington County",163,6695,3515,3180,6226,0,36,351,0,19
"G2701630070204","Minnesota","Washington County",163,5434,2650,2784,5079,27,19,180,0,9
"G2701630070205","Minnesota","Washington County",163,3911,2019,1892,3877,0,18,0,0,10
"G2701630070206","Minnesota","Washington County",163,3469,1714,1755,3394,10,0,15,0,27
"G2701630070301","Minnesota","Washington County",163,1749,881,868,1697,17,0,16,0,15
"G2701630070303","Minnesota","Washington County",163,4592,2140,2452,4479,61,0,21,0,5
"G2701630070304","Minnesota","Washington County",163,4708,2279,2429,4389,64,19,15,0,14
"G2701630070403","Minnesota","Washington County",163,3854,1875,1979,3832,0,0,22,0,0
"G2701630070404","Minnesota","Washington County",163,3285,1716,1569,3219,0,0,66,0,0
"G2701630070405","Minnesota","Washington County",163,4390,2223,2167,3869,0,0,410,0,0
"G2701630070406","Minnesota","Washington County",163,3488,1853,1635,3005,0,0,346,0,16
"G2701630070501","Minnesota","Washington County",163,3618,1774,1844,3585,0,0,22,0,0
"G2701630070502","Minnesota","Washington County",163,4459,2313,2146,4125,121,45,17,0,0
"G2701630070601","Minnesota","Washington County",163,6595,3225,3370,6294,15,0,64,46,0
"G2701630070602","Minnesota","Washington County",163,2273,1179,1094,2168,38,0,0,0,37
"G2701630070701","Minnesota","Washington County",163,6315,3017,3298,6058,36,0,172,0,20
"G2701630070703","Minnesota","Washington County",163,3347,1539,1808,2881,143,0,149,0,42
"G2701630070704","Minnesota","Washington County",163,3172,1420,1752,3152,0,0,0,0,0
"G2701630070801","Minnesota","Washington County",163,269,269,0,126,81,35,9,0,9
"G2701630070802","Minnesota","Washington County",163,361,361,0,187,85,63,0,0,18
"G2701630070906","Minnesota","Washington County",163,5126,2329,2797,4279,445,9,296,0,0
"G2701630070907","Minnesota","Washington County",163,4846,2353,2493,3803,182,0,772,0,45
"G2701630070909","Minnesota","Washington County",163,5852,2881,2971,4750,390,0,531,0,25
"G2701630070910","Minnesota","Washington County",163,4783,2442,2341,4040,165,56,239,0,88
"G2701630070911","Minnesota","Washington County",163,4251,2162,2089,3539,349,0,128,0,14
"G2701630070912","Minnesota","Washington County",163,3259,1755,1504,2614,270,0,184,0,127
"G2701630071001","Minnesota","Washington County",163,4897,2495,2402,3774,251,0,456,0,155
"G2701630071003","Minnesota","Washington County",163,3501,1824,1677,3320,0,0,175,0,6
"G2701630071006","Minnesota","Washington County",163,4407,2176,2231,3314,514,0,531,0,4
"G2701630071010","Minnesota","Washington County",163,5323,2632,2691,4490,104,0,531,0,55
"G2701630071011","Minnesota","Washington County",163,3178,1632,1546,2864,25,0,194,0,0
"G2701630071012","Minnesota","Washington County",163,4717,2239,2478,4130,260,67,77,0,57
"G2701630071013","Minnesota","Washington County",163,4704,2318,2386,4108,120,0,261,0,54
"G2701630071014","Minnesota","Washington County",163,4565,2309,2256,3583,393,0,453,0,80
"G2701630071015","Minnesota","Washington County",163,6425,3133,3292,5376,220,0,479,0,72
"G2701630071016","Minnesota","Washington County",163,4462,2052,2410,3639,166,0,415,0,114
"G2701630071017","Minnesota","Washington County",163,5170,2487,2683,4388,134,0,559,0,0
"G2701630071018","Minnesota","Washington County",163,11599,5874,5725,9906,442,14,1073,21,14
"G2701630071101","Minnesota","Washington County",163,3568,1710,1858,3424,17,5,53,0,15
"G2701630071102","Minnesota","Washington County",163,4599,2285,2314,4261,43,0,169,9,53
"G2701630071206","Minnesota","Washington County",163,8853,4173,4680,7066,564,38,728,0,87
"G2701630071207","Minnesota","Washington County",163,7689,3861,3828,6922,657,0,0,0,11
"G2701630071208","Minnesota","Washington County",163,5075,2493,2582,4502,212,0,190,0,9
"G2701630071209","Minnesota","Washington County",163,5995,2994,3001,5378,77,45,208,0,6
"G2701630071300","Minnesota","Washington County",163,5184,2579,2605,4642,161,0,203,0,100
"G2701630071400","Minnesota","Washington County",163,6777,3450,3327,5777,49,0,518,0,362
"G2701650950100","Minnesota","Watonwan County",165,3801,1987,1814,3208,11,12,20,0,289
"G2701650950200","Minnesota","Watonwan County",165,4632,2126,2506,4097,80,0,0,20,387
"G2701650950300","Minnesota","Watonwan County",165,2779,1518,1261,2525,3,0,174,0,44
"G2701670950100","Minnesota","Wilkin County",167,3176,1716,1460,3100,14,26,8,2,4
"G2701670950200","Minnesota","Wilkin County",167,3460,1652,1808,3320,0,18,0,0,74
"G2701690670100","Minnesota","Winona County",169,7844,4135,3709,7614,46,10,116,0,26
"G2701690670200","Minnesota","Winona County",169,3034,1523,1511,2953,0,0,66,0,0
"G2701690670300","Minnesota","Winona County",169,6508,2954,3554,6016,163,39,143,0,7
"G2701690670400","Minnesota","Winona County",169,4521,2107,2414,4396,0,30,43,0,0
"G2701690670500","Minnesota","Winona County",169,5829,2418,3411,5524,67,24,202,0,0
"G2701690670600","Minnesota","Winona County",169,3771,1840,1931,3526,0,0,78,0,24
"G2701690670700","Minnesota","Winona County",169,3720,1959,1761,3529,22,12,79,0,0
"G2701690670800","Minnesota","Winona County",169,7436,3706,3730,7173,28,29,157,0,0
"G2701690670900","Minnesota","Winona County",169,3845,1961,1884,3738,49,5,0,0,4
"G2701690671000","Minnesota","Winona County",169,4796,2411,2385,4268,19,10,174,0,160
"G2701710100100","Minnesota","Wright County",171,11737,6150,5587,11134,133,13,227,0,20
"G2701710100202","Minnesota","Wright County",171,1523,805,718,1504,0,0,0,0,0
"G2701710100203","Minnesota","Wright County",171,5657,2699,2958,5132,100,142,17,0,13
"G2701710100204","Minnesota","Wright County",171,8358,4207,4151,7743,0,0,49,0,440
"G2701710100300","Minnesota","Wright County",171,5404,2757,2647,5335,8,0,16,0,0
"G2701710100400","Minnesota","Wright County",171,4848,2409,2439,4766,39,18,0,0,16
"G2701710100500","Minnesota","Wright County",171,4579,2375,2204,4525,0,10,7,0,11
"G2701710100701","Minnesota","Wright County",171,5757,2735,3022,5657,17,24,18,0,18
"G2701710100702","Minnesota","Wright County",171,8511,4346,4165,7748,412,37,160,0,15
"G2701710100703","Minnesota","Wright County",171,8495,4327,4168,8349,0,8,36,0,83
"G2701710100801","Minnesota","Wright County",171,12114,6040,6074,11179,311,0,290,0,51
"G2701710100802","Minnesota","Wright County",171,12820,6241,6579,12266,95,76,169,0,9
"G2701710100900","Minnesota","Wright County",171,7207,3599,3608,6944,45,0,43,0,148
"G2701710101000","Minnesota","Wright County",171,8081,4148,3933,7956,0,17,71,0,22
"G2701710101100","Minnesota","Wright County",171,7016,3686,3330,6295,15,15,36,0,594
"G2701710101200","Minnesota","Wright County",171,3731,1758,1973,3639,0,0,16,0,39
"G2701710101300","Minnesota","Wright County",171,4926,2407,2519,4587,80,0,28,0,103
"G2701730970100","Minnesota","Yellow Medicine County",173,3674,1790,1884,3324,77,134,9,2,24
"G2701730970200","Minnesota","Yellow Medicine County",173,2411,1249,1162,2402,0,0,0,0,0
"G2701730970300","Minnesota","Yellow Medicine County",173,2540,1336,1204,2451,4,40,9,0,31
"G2701730970400","Minnesota","Yellow Medicine County",173,1889,984,905,1687,0,75,25,2,70
